model	variant	ctx	greenboost	suite	status	prompt_tps	response_tps	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	confidence_grade	run_dir
Qwen 9B	baseline	pp512/tg128	off	throughput_ported_off_final	ok	2936.626690	76.034429						B	runs/20260410T072755Z_qwen9b-k-only-all-families-ported-off
Qwen 9B	iso3_k	pp512/tg128	off	throughput_ported_off_final	ok	2976.753972	73.057244						B	runs/20260410T072755Z_qwen9b-k-only-all-families-ported-off
Qwen 9B	planar3_k	pp512/tg128	off	throughput_ported_off_final	ok	3110.604101	71.944500						B	runs/20260410T072755Z_qwen9b-k-only-all-families-ported-off
Qwen 9B	sq3_k	pp512/tg128	off	throughput_ported_off_final	ok	1340.263219	69.465459						B	runs/20260410T072755Z_qwen9b-k-only-all-families-ported-off
Qwen 9B	tq1_k	pp512/tg128	off	throughput_ported_off_final	ok	1372.999545	68.657386						B	runs/20260410T072755Z_qwen9b-k-only-all-families-ported-off
Qwen 9B	tq3_k	pp512/tg128	off	throughput_ported_off_final	ok	1334.190727	66.476748						B	runs/20260410T072755Z_qwen9b-k-only-all-families-ported-off
Qwen 27B	baseline	pp64/tg16	off	throughput_ported_off_final	ok	86.680848	3.950270						B	runs/20260410T155500Z_qwen27b-k-only-all-families-off-r5-replication
Qwen 27B	iso3_k	pp64/tg16	off	throughput_ported_off_final	ok	87.220515	3.958204						B	runs/20260410T155500Z_qwen27b-k-only-all-families-off-r5-replication
Qwen 27B	planar3_k	pp64/tg16	off	throughput_ported_off_final	ok	86.913025	3.936765						B	runs/20260410T155500Z_qwen27b-k-only-all-families-off-r5-replication
Qwen 27B	sq3_k	pp64/tg16	off	throughput_ported_off_final	ok	86.740028	3.918025						B	runs/20260410T155500Z_qwen27b-k-only-all-families-off-r5-replication
Qwen 27B	tq1_k	pp64/tg16	off	throughput_ported_off_final	ok	86.928013	3.916538						B	runs/20260410T155500Z_qwen27b-k-only-all-families-off-r5-replication
Qwen 27B	tq3_k	pp64/tg16	off	throughput_ported_off_final	ok	86.464132	3.926099						B	runs/20260410T155500Z_qwen27b-k-only-all-families-off-r5-replication
Qwen 122B	baseline	pp1/tg1	off	throughput_ported_off_final	ok	4.447522	4.547146						B	runs/20260410T073749Z_qwen122b-k-only-all-families-ported-off
Qwen 122B	iso3_k	pp1/tg1	off	throughput_ported_off_final	ok	3.614955	4.148374						B	runs/20260410T073749Z_qwen122b-k-only-all-families-ported-off
Qwen 122B	planar3_k	pp1/tg1	off	throughput_ported_off_final	ok	4.240544	4.741527						B	runs/20260410T073749Z_qwen122b-k-only-all-families-ported-off
Qwen 122B	sq3_k	pp1/tg1	off	throughput_ported_off_final	ok	4.502910	4.536076						B	runs/20260410T073749Z_qwen122b-k-only-all-families-ported-off
Qwen 122B	tq1_k	pp1/tg1	off	throughput_ported_off_final	ok	4.426601	4.479099						B	runs/20260410T073749Z_qwen122b-k-only-all-families-ported-off
Qwen 122B	tq3_k	pp1/tg1	off	throughput_ported_off_final	ok	4.549043	4.617119						B	runs/20260410T073749Z_qwen122b-k-only-all-families-ported-off
Gemma 4 31B	baseline	pp512/tg128	off	throughput_ported_off_final	ok	46.306620	1.107171						B	runs/20260410T074043Z_gemma4-31b-k-only-all-families-ported-off
Gemma 4 31B	iso3_k	pp512/tg128	off	throughput_ported_off_final	ok	50.792602	1.231495						B	runs/20260410T074043Z_gemma4-31b-k-only-all-families-ported-off
Gemma 4 31B	planar3_k	pp512/tg128	off	throughput_ported_off_final	ok	49.515541	1.234948						B	runs/20260410T074043Z_gemma4-31b-k-only-all-families-ported-off
Gemma 4 31B	sq3_k	pp512/tg128	off	throughput_ported_off_final	ok	46.811537	1.229638						B	runs/20260410T074043Z_gemma4-31b-k-only-all-families-ported-off
Gemma 4 31B	tq1_k	pp512/tg128	off	throughput_ported_off_final	ok	46.040694	1.233752						B	runs/20260410T074043Z_gemma4-31b-k-only-all-families-ported-off
Gemma 4 31B	tq3_k	pp512/tg128	off	throughput_ported_off_final	ok	46.803826	1.233549						B	runs/20260410T074043Z_gemma4-31b-k-only-all-families-ported-off
Nemotron 120B	baseline	pp1/tg1	off	throughput_ported_off_final	ok	3.176153	3.132062						B	runs/20260410T081405Z_nemotron120b-k-only-all-families-ported-off
Nemotron 120B	iso3_k	pp1/tg1	off	throughput_ported_off_final	ok	2.902011	3.112476						B	runs/20260410T081405Z_nemotron120b-k-only-all-families-ported-off
Nemotron 120B	planar3_k	pp1/tg1	off	throughput_ported_off_final	ok	2.964044	3.128858						B	runs/20260410T081405Z_nemotron120b-k-only-all-families-ported-off
Nemotron 120B	sq3_k	pp1/tg1	off	throughput_ported_off_final	ok	2.877392	3.022992						B	runs/20260410T081405Z_nemotron120b-k-only-all-families-ported-off
Nemotron 120B	tq1_k	pp1/tg1	off	throughput_ported_off_final	ok	3.418771	3.546768						B	runs/20260410T081405Z_nemotron120b-k-only-all-families-ported-off
Nemotron 120B	tq3_k	pp1/tg1	off	throughput_ported_off_final	ok	3.494476	3.550358						B	runs/20260410T081405Z_nemotron120b-k-only-all-families-ported-off
Mistral 119B	baseline	pp1/tg1	off	throughput_ported_off_final	ok	4.666025	4.708532						B	runs/20260410T115510Z_mistral119b-k-only-all-families-ported-off-final
Mistral 119B	iso3_k	pp1/tg1	off	throughput_ported_off_final	ok	8.136123	7.673280						B	runs/20260410T115510Z_mistral119b-k-only-all-families-ported-off-final
Mistral 119B	planar3_k	pp1/tg1	off	throughput_ported_off_final	ok	8.176093	8.230850						B	runs/20260410T115510Z_mistral119b-k-only-all-families-ported-off-final
