model	variant	greenboost	quality_ctx	quality_suite	quality_status	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	quality_confidence_grade	matched_throughput_suite	throughput_ctx	prompt_tps	response_tps	throughput_confidence_grade	equivalence_tier	equivalence_basis	equivalence_note	throughput_run_dir	quality_run_dir
Qwen 9B	baseline	on	512	core_matrix_v1_ctx512	ok	4.0681	6566	5580	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	2930.099835	68.821980	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	tq1_k	on	512	core_matrix_v1_ctx512	ok	4.0536	6592	5606	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	1345.709117	64.627552	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	tq3_k	on	512	core_matrix_v1_ctx512	ok	4.0754	6590	5604	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	1351.017518	64.860961	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	sq3_k	on	512	core_matrix_v1_ctx512	ok	4.0754	6590	5604	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	1383.448788	69.886542	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	planar3_k	on	512	core_matrix_v1_ctx512	ok	4.0627	6570	5584	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	2841.935622	68.160429	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	iso3_k	on	512	core_matrix_v1_ctx512	ok	4.0627	6590	5604	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	2822.313429	68.305354	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 27B	baseline	on	512	core_matrix_v1_ctx512	ok	3.5447	11432	10446	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	87.996441	2.281146	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	tq1_k	on	512	core_matrix_v1_ctx512	ok	3.5412	11450	10454	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	78.992533	2.045765	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	tq3_k	on	512	core_matrix_v1_ctx512	ok	3.5513	11448	10462	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	81.162651	2.017148	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	sq3_k	on	512	core_matrix_v1_ctx512	ok	3.5513	11448	10462	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	75.789175	2.009335	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	planar3_k	on	512	core_matrix_v1_ctx512	ok	3.5461	11444	10458	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	82.680482	2.015776	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 27B	iso3_k	on	512	core_matrix_v1_ctx512	ok	3.5461	11444	10458	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	80.815580	2.014966	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on	runs/20260410T154246Z_qwen27b-ppl-vram-ported-on
Qwen 122B	baseline	on	512	core_matrix_v1_ctx512	ok	3.7456	10580	9594	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	1.944523	2.626466	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	tq1_k	on	512	core_matrix_v1_ctx512	ok	3.7452	10582	9575	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.828910	4.166940	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	tq3_k	on	512	core_matrix_v1_ctx512	ok	3.7466	10580	9594	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	4.104632	4.153034	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	sq3_k	on	512	core_matrix_v1_ctx512	ok	3.7466	10580	9573	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	4.133980	4.252178	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	planar3_k	on	512	core_matrix_v1_ctx512	missing				mixed_summary_report.txt	1	F	throughput_ported_on_final	pp1/tg1	4.104948	4.255033	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	iso3_k	on	512	core_matrix_v1_ctx512	ok	3.7543	10568	9582	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	2.729611	4.211265	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Gemma 4 31B	baseline	on	512	core_matrix_v1_ctx512	ok	119.9030	7820	6834	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	43.474325	1.107903	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
